project_url,revision_hash,message,internal_quality,external_quality,sw_adaptive,project,label_internal_quality,label_external_quality,has_label
https://code.google.com/a/eclipselabs.org/p/tapiji/,fc21d266c205497596bbc4aecb0a2b62558d0e0d,"""updated licenses
""",True,False,False,tapiji,False,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,3fa1fbf35a2e750c3b932c7721f5b820ed518adf,"""updated licenses
""",True,False,False,tapiji,False,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,8e0167a91d4717daead6e14541c7655ee45c1430,"""updated licenses
""",True,False,False,tapiji,False,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,d5323221449f55323f7b3558350f3e078007ac1c,"""updated licenses
""",True,False,False,tapiji,False,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,895ccdf8615c0b9bbbef60dbfc88614a6f27926b,"""updated licenses
""",True,False,False,tapiji,False,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,a449a6993aa2850d828e87676210224b6f24d35b,"""updated licenses
""",True,False,False,tapiji,False,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,512b4f8b9423e962db00dd90b7a89dbf43c6fe9a,"""updated licenses
""",True,False,False,tapiji,False,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,d698699901d72f73212e302ad715c97a4c4fc10e,"""Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
""",True,False,False,tapiji,True,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,d26352162c497083a294b999126f6a23bb5a45f3,"""Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
""",True,False,False,tapiji,True,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,b784b84322f3113e43fe4cade915d18f74a85132,"""Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
""",True,False,False,tapiji,True,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,ba424c200bb5b1321f2a8872dfbb1b6f95e2eab0,"""Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
""",True,False,False,tapiji,True,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,05f4312a0fd7a993277c47362726bb027282a198,"""Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
""",True,False,False,tapiji,True,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,8ddd5253544c01c22d08c634b08b7fab75c86864,"""Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
""",True,False,False,tapiji,True,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,94a5344305fb5e4def14642eea2ca69dbd87511e,"""Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
""",True,False,False,tapiji,True,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,ad97977bc5310342aead2139c86637098d1e2e94,"""Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
""",True,False,False,tapiji,True,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,6468e8aa21f0fcf95bdd3eebb2e5109ba723621b,"""Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
""",True,False,False,tapiji,True,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,906c7a7d7f8b0b325111b4cfb5748904bce7074b,"""Adapts the namespace of all TapiJI plug-ins to org.eclipselabs.tapiji.*.
""",True,False,False,tapiji,True,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,a0a3baeaeaf96094b7b174ad2faaa48de185e50e,"""Fixes bug in generation of Java bundle key hovers.
""",False,True,False,tapiji,False,True,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,c2fb7797cc536cb8d091b5bea942bd7664f40a74,"""Fixes minor bugs.
""",True,True,False,tapiji,False,True,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,b6145ff411edfdd4fe253743c393c3db6ac5241e,"""Fixes minor bugs

""",True,False,False,tapiji,False,True,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,25b42d9807047c9d58eb2035f38554383de318d7,"""Fixes minor bugs
""",True,True,False,tapiji,False,True,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,ef188634902f882c9f95c1d753a5b3bf50c86b1c,"""Fixes minor bugs
""",True,True,False,tapiji,False,True,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,4691277b8848f49aae42a49ae19df8e14e6322d5,"""Fixes minor bugs
""",False,True,False,tapiji,False,True,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,4dfb9b11c8a8ccfca75bb282c1b7ddef04c4e1c7,"""adapt plugin versions
""",True,False,False,tapiji,False,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,d23a54277258ea0cd8b255e85e1550de118c65ff,"""Releases V0.0.2
""",True,False,False,tapiji,False,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,de3323d5b23516fb77ccc8d681140ed8fbef2826,"""Fixing typo and minor bug.
""",True,True,False,tapiji,True,True,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,96002c8a5530eeb589fdf2cfaac811c6509b3569,"""Fixes configuration bugs.
""",False,True,False,tapiji,False,True,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,2e476072a7ab2b962887e15502e91dcaf7158bf4,"""Adapts product configuration.
""",True,False,False,tapiji,False,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,ab0dc4fa8e25c5273c5143de51b50f490fba77ca,"""Fixing resource save error.
""",True,False,False,tapiji,False,True,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,8fb56b3ec6696cdb34f9623b39e1bbd9d884d788,"""Creating private branch for the implementation of key refactoring functionality.

""",False,False,False,tapiji,False,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,f774c04eb4469403cda27764a58ac87bcf2c6dab,"""removes  and  plug-ins
""",False,False,False,tapiji,True,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,8e28a45ac0adc8040942b3923f4b4fecb9ccaf92,"""removes essiembre resource bundle editor
""",False,False,False,tapiji,True,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,f932807d5c49548c1bbbdc6df1e949fe196e6cc5,"""adds the plug-ins  and
""",False,False,True,tapiji,False,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,3c558b6bd33611c366f4299f9e639288a7e47d38,"""adds missing folders in  plug-in
""",False,True,False,tapiji,False,True,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,361f6ac51d73daf352fe42b8e2f164dc9a6775d5,"""adds missing icons folder for
""",False,True,False,tapiji,False,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,a5e981d512d6b8983b4adcd85f75dd459271595f,"""removes ui core
""",False,False,False,tapiji,True,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,d2a76d6b71ad0a40daa420d1b4ca447f8fb3b0de,"""adds ui core
""",False,False,True,tapiji,False,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,a57bee46d7db4cd6257d45a0733cf575602b0bb3,"""Creates `stable` branch.

The stable branch is copied from `issue-32` and used for getting a stable release that is based on the babel editor plug-in.

""",True,False,False,tapiji,False,False,True
https://code.google.com/a/eclipselabs.org/p/tapiji/,77b746d68550cbfe0ed00f26db032fc2130d1970,"""Creates branch `master`

""",True,False,False,tapiji,False,False,True
